==25617== NVPROF is profiling process 25617, command: ./cgout -b 1 -t 1024 -p 1 -l 0.1 -n 1000
==25617== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25617== Profiling application: ./cgout -b 1 -t 1024 -p 1 -l 0.1 -n 1000
==25617== Profiling result:
==25617== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1                           tex_utilization                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                                inst_fp_32                               FP Instructions(Single)        1024        1024        1024
          1                                inst_fp_64                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                  Integer Instructions     3132496     3132496     3132496
          1                          inst_bit_convert                              Bit-Convert Instructions        2048        2048        2048
          1                              inst_control                             Control-Flow Instructions      263168      263168      263168
          1                        inst_compute_ld_st                               Load/Store Instructions     2050048     2050048     2050048
          1                                 inst_misc                                     Misc Instructions      282624      282624      282624
          1           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                           Issue Slots      131182      131182      131182
          1                                 cf_issued                      Issued Control-Flow Instructions        8320        8320        8320
          1                               cf_executed                    Executed Control-Flow Instructions        8320        8320        8320
          1                               ldst_issued                        Issued Load/Store Instructions      256640      256640      256640
          1                             ldst_executed                      Executed Load/Store Instructions       64192       64192       64192
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       0.16%       0.16%       0.16%
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       0.06%       0.06%       0.06%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      96.29%      96.29%      96.29%
          1                             stall_texture                         Issue Stall Reasons (Texture)       3.41%       3.41%       3.41%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)       0.07%       0.07%       0.07%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.00%       0.00%       0.00%
          1                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.00%       0.00%       0.00%
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.01%       0.01%       0.01%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.00%       0.00%       0.00%
          1                  sysmem_read_transactions                       System Memory Read Transactions       64000       64000       64000
          1                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                  L2 Read Transactions       64039       64039       64039
          1                     l2_write_transactions                                 L2 Write Transactions          70          70          70
          1                          ecc_transactions                                      ECC Transactions           0           0           0
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      75.02%      75.02%      75.02%
          1                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
          1                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)     100.00%     100.00%     100.00%
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  125.05MB/s  125.05MB/s  124.93MB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  128.05KB/s  128.05KB/s  0.00000B/s
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)       64000       64000       64000
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)          64          64          64
          1                        l2_read_throughput                                 L2 Throughput (Reads)  125.13MB/s  125.13MB/s  124.93MB/s
          1                       l2_write_throughput                                L2 Throughput (Writes)  140.06KB/s  140.06KB/s  0.00000B/s
          1                    sysmem_read_throughput                         System Memory Read Throughput  125.05MB/s  125.05MB/s  124.93MB/s
          1                   sysmem_write_throughput                        System Memory Write Throughput  10.004KB/s  10.004KB/s  0.00000B/s
          1                            l2_utilization                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                            ecc_throughput                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_read_utilization                        System Memory Read Utilization     Low (1)     Low (1)     Low (1)
          1                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    0.007897    0.007897    0.007897
          1                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
