==22870== Profiling application: ./cgout -b 512 -p 1 -l 1 -n 1000
==22870== Profiling result:
==22870== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                   dram_write_transactions                      Device Memory Write Transactions        3914        3914        3914
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  2.4689GB/s  2.4689GB/s  2.4689GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  9.8200MB/s  9.8200MB/s  9.5367MB/s
          1                            gld_throughput                                Global Load Throughput  78.482GB/s  78.482GB/s  78.482GB/s
          1                            gst_throughput                               Global Store Throughput  39.280MB/s  39.280MB/s  39.101MB/s
          1                      dram_read_throughput                         Device Memory Read Throughput  946.90MB/s  946.90MB/s  946.04MB/s
          1                     dram_write_throughput                        Device Memory Write Throughput  150.14MB/s  150.14MB/s  149.73MB/s
          1                      tex_cache_throughput                              Unified Cache Throughput  78.557GB/s  78.557GB/s  78.556GB/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency       3.15%       3.15%       3.15%
          1                            gst_efficiency                        Global Memory Store Efficiency      25.00%      25.00%      25.00%
          1                    tex_cache_transactions                            Unified Cache Transactions     2097056     2097056     2097056
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
