==22912== NVPROF is profiling process 22912, command: ./cgout -b 1024 -p 1 -l 1 -n 1000
==22912== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22912== Profiling application: ./cgout -b 1024 -p 1 -l 1 -n 1000
==22912== Profiling result:
==22912== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                          gld_transactions                              Global Load Transactions     2097104     2097104     2097104
          1                          gst_transactions                             Global Store Transactions        2048        2048        2048
          1                    dram_read_transactions                       Device Memory Read Transactions       28740       28740       28740
          1                   dram_write_transactions                      Device Memory Write Transactions        5538        5538        5538
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  2.6572GB/s  2.6572GB/s  2.6571GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  21.117MB/s  21.117MB/s  20.981MB/s
          1                            gld_throughput                                Global Load Throughput  84.468GB/s  84.468GB/s  84.467GB/s
          1                            gst_throughput                               Global Store Throughput  84.470MB/s  84.470MB/s  83.923MB/s
          1                      dram_read_throughput                         Device Memory Read Throughput  1.1576GB/s  1.1576GB/s  1.1567GB/s
          1                     dram_write_throughput                        Device Memory Write Throughput  228.42MB/s  228.42MB/s  227.93MB/s
          1                      tex_cache_throughput                              Unified Cache Throughput  84.548GB/s  84.548GB/s  84.548GB/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency       3.15%       3.15%       3.15%
          1                            gst_efficiency                        Global Memory Store Efficiency      25.00%      25.00%      25.00%
          1                    tex_cache_transactions                            Unified Cache Transactions     2099104     2099104     2099104
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
